City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Hambantota,LK,2022-05-04 15:58:33,6.1241,81.1185,80.94,94,40,4.61
238,Swindon,GB,2022-05-04 15:54:23,51.558,-1.7812,65.84,68,100,16.11
239,Kayes,ML,2022-05-04 15:58:33,14.0,-11.0,102.47,17,32,7.2
240,Mogadishu,SO,2022-05-04 15:58:34,2.0371,45.3438,81.68,79,71,13.11
241,Witu,KE,2022-05-04 15:58:34,-2.3889,40.4382,79.25,80,100,14.03
242,Wajid,SO,2022-05-04 15:58:34,3.8093,43.2471,82.44,62,91,11.88
243,Marsabit,KE,2022-05-04 15:58:35,2.3284,37.9899,70.48,63,20,11.97
244,Lofthus,NO,2022-05-04 15:58:35,59.9468,10.8018,54.5,39,100,11.39
245,Tororo,UG,2022-05-04 15:58:35,0.693,34.1809,68.63,90,98,4.5
246,Progreso,MX,2022-05-04 15:58:36,21.2833,-89.6667,89.71,61,2,8.39
247,Monrovia,LR,2022-05-04 15:58:36,6.3005,-10.7969,85.87,67,55,6.91
248,Korla,CN,2022-05-04 15:58:37,41.7597,86.1469,81.09,14,100,7.36
249,Mvangue,CM,2022-05-04 15:58:37,2.9667,11.5167,71.56,97,98,3.62
250,Inhambane,MZ,2022-05-04 15:58:37,-23.865,35.3833,75.18,78,40,3.44
251,Puerto Madryn,AR,2022-05-04 15:58:38,-42.7692,-65.0385,68.63,41,100,13.71
252,Sile,TR,2022-05-04 15:58:38,41.1754,29.6133,57.56,70,46,1.99
253,Wadi Musa,JO,2022-05-04 15:58:38,30.3222,35.4793,60.15,64,1,17.54
254,Lahij,YE,2022-05-04 15:58:39,13.1667,44.5833,87.03,40,0,4.14
255,Springfield,US,2022-05-04 15:55:35,37.2153,-93.2982,52.86,86,100,5.01
256,Rawson,AR,2022-05-04 15:54:18,-43.3002,-65.1023,67.62,43,100,16.75
257,Floresta,BR,2022-05-04 15:58:39,-8.6011,-38.5686,95.5,30,65,15.23
258,Grindavik,IS,2022-05-04 15:58:39,63.8424,-22.4338,39.15,60,75,8.05
259,Catalina,US,2022-05-04 15:58:40,32.5056,-110.9211,75.09,28,0,3.0
260,Forestville,US,2022-05-04 15:58:40,38.8451,-76.875,65.86,91,100,4.61
261,Chapleau,CA,2022-05-04 15:54:44,47.8405,-83.4034,42.89,52,20,8.05
262,Dwarka,IN,2022-05-04 15:58:41,22.2394,68.9678,83.05,86,0,12.48
263,Vakhrushevo,RU,2022-05-04 15:58:41,55.2317,61.7173,55.78,28,0,6.71
264,Kamenka,RU,2022-05-04 15:58:41,51.3223,42.7678,56.62,57,13,10.49
265,Yenagoa,NG,2022-05-04 15:58:42,4.9247,6.2642,74.35,91,100,4.07
266,Aswan,EG,2022-05-04 15:55:55,24.0934,32.907,99.7,16,0,13.8
267,Grindsted,DK,2022-05-04 15:58:42,55.754,8.9123,53.62,58,99,12.66
268,Manicore,BR,2022-05-04 15:58:42,-5.8092,-61.3003,87.22,65,95,2.73
269,Rundu,NA,2022-05-04 15:58:43,-17.9333,19.7667,72.86,34,4,4.9
270,Skjervoy,NO,2022-05-04 15:58:43,70.0311,20.9714,35.6,59,100,19.95
271,Zabid,YE,2022-05-04 15:58:43,14.1951,43.3152,92.43,39,12,1.07
272,Eenhana,NA,2022-05-04 15:58:44,-17.4667,16.3333,76.82,28,0,4.85
273,Tunceli,TR,2022-05-04 15:58:44,39.1083,39.5471,58.39,83,100,0.67
274,Tokonou,GN,2022-05-04 15:58:45,9.65,-9.7833,90.99,41,59,1.54
275,Camocim,BR,2022-05-04 15:58:45,-2.9022,-40.8411,85.77,67,59,10.89
276,Marsa Matruh,EG,2022-05-04 15:58:45,31.3525,27.2453,66.4,72,40,14.97
277,Tarumovka,RU,2022-05-04 15:58:46,44.0761,46.5361,56.75,55,78,9.93
278,Tonantins,BR,2022-05-04 15:59:46,-2.8731,-67.8022,80.74,89,88,2.3
279,Nara,JP,2022-05-04 15:59:46,34.6851,135.8049,60.12,59,99,0.83
280,Mariestad,SE,2022-05-04 15:54:54,58.7097,13.8237,58.37,41,100,2.3
281,Dumraon,IN,2022-05-04 15:59:47,25.55,84.15,91.38,38,7,14.74
282,Luebo,CD,2022-05-04 15:59:14,-5.35,21.4167,78.76,74,100,0.58
283,Fonte Boa,BR,2022-05-04 15:59:47,-2.4959,-66.2662,81.86,90,82,5.08
284,Yar-Sale,RU,2022-05-04 15:59:47,66.8333,70.8333,33.55,97,100,12.39
285,Constantine,DZ,2022-05-04 15:58:26,36.365,6.6147,85.41,15,20,23.02
286,Araguacu,BR,2022-05-04 15:59:48,-12.9306,-49.8264,92.34,39,2,2.62
287,Kisangani,CD,2022-05-04 15:59:48,0.5167,25.2,80.64,69,49,3.04
