City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
398,Dapaong,TG,85.55,overcast clouds,10.8639,0.205,Hotel Caroli
400,Jibuti,DJ,79.0,clear sky,11.5,42.5,Orchid Main Camp Goubet
402,Puerto El Triunfo,SV,88.72,broken clouds,13.2833,-88.55,Hotel Jardin
404,Salinopolis,BR,79.43,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
410,Panama City,PA,84.15,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
411,Nhamunda,BR,76.08,broken clouds,-2.1861,-56.7131,Pousada Da Praia
413,Guarapari,BR,73.13,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
414,Najran,SA,77.65,few clouds,17.4924,44.1277,محمد هادي ال فطيح
416,Chardara,KZ,70.63,few clouds,41.2547,67.9692,Жанаргул
418,Badlapur,IN,84.0,clear sky,19.15,73.2667,Rainy Resort and Water Park
420,Paulo Afonso,BR,76.41,scattered clouds,-9.4061,-38.2147,Pousada Ilha Bela
421,Bangui,CF,72.9,light rain,4.3612,18.555,SAM HOTEL
426,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
430,Mbanza-Ngungu,CD,70.16,light rain,-5.25,14.8667,Hotel Full Business
432,Kemise,ET,70.43,few clouds,10.7167,39.8667,Hussen Endris
433,Bull Savanna,JM,78.31,scattered clouds,17.8868,-77.5902,Big Red's
434,Aswan,EG,74.5,clear sky,24.0934,32.907,Nuba Nile
436,Jalalabad,AF,79.16,clear sky,34.4265,70.4515,انصاف چهاردهي هوټل
440,Luanda,AO,76.71,clear sky,-8.8368,13.2343,EPIC SANA Luanda
441,Seydi,TM,81.34,broken clouds,39.4816,62.9137,Seydi oteli
446,Kalmunai,LK,81.23,heavy intensity rain,7.4167,81.8167,VS Villa
447,Dagana,MR,81.73,clear sky,16.5165,-15.5068,Quartier Dille koumba fatim thiam
452,Manta,EC,82.18,few clouds,-0.95,-80.7333,Balandra Hotel
453,Salinas,US,77.81,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
455,Basoko,CD,71.8,overcast clouds,1.2391,23.616,Jackyna Hotel
458,Kudahuvadhoo,MV,83.59,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
459,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
465,Abu Dhabi,AE,89.62,clear sky,24.4667,54.3667,Beach Rotana
466,Mitsamiouli,KM,80.33,few clouds,-11.3847,43.2844,Foyer ADM
468,Iracoubo,GF,76.35,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
474,Jilib,SO,75.31,light rain,0.4883,42.7854,Waadi Hotel
475,Soyo,AO,77.63,light rain,-6.1349,12.3689,Hotel Mpampa
479,Waw,SS,80.2,overcast clouds,7.7029,27.9953,Universal Gab Hotel
480,Touros,BR,77.74,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
481,Riohacha,CO,82.51,broken clouds,11.5444,-72.9072,Hotel Taroa
483,Yenagoa,NG,75.65,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
490,Monrovia,LR,80.28,light rain,6.3005,-10.7969,Sunset Inn
491,Conceicao Da Barra,BR,75.04,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
492,Araguaina,BR,79.16,broken clouds,-7.1911,-48.2072,Hotel São Vicente
496,Tonj,SS,76.24,light rain,7.2737,28.6822,Lakan Hotel
498,Batticaloa,LK,81.43,overcast clouds,7.7102,81.6924,Grand Star Guest House
501,Kikwit,CD,74.95,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
502,Vargem Grande,BR,76.01,moderate rain,-3.5431,-43.9158,Pousada São Raimundo
506,Morondava,MG,75.58,overcast clouds,-20.2833,44.2833,La Case Bambou
507,Grand Baie,MU,73.87,broken clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
509,Barra Do Garcas,BR,75.61,clear sky,-15.89,-52.2567,Pousada Tropical
510,Khangah Dogran,PK,81.63,clear sky,31.8317,73.6231,Dera Sabha Khokhar
521,Sarakhs,IR,73.74,broken clouds,36.5449,61.1577,مهمان سرای شرکت گاز
525,Bodden Town,KY,87.01,few clouds,19.2833,-81.25,Will T Place
526,Corralillo,CU,81.66,light rain,22.9819,-80.5856,Hostal De Pedri
530,Siavonga,ZM,71.13,broken clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
532,Ugoofaaru,MV,84.29,scattered clouds,5.6667,73.0,Ungoofaaru Inn
533,Rafsanjan,IR,70.81,broken clouds,30.4067,55.9939,Rafsanjan Tourism Hotel
534,Hawalli,KW,84.56,clear sky,29.2833,47.9972,"Holiday Inn Kuwait al Thuraya City, an IHG Hotel"
538,Guanica,PR,82.51,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
539,Anderson,US,80.58,broken clouds,34.5334,-82.6499,The Bleckley Inn
545,Eyl,SO,82.31,clear sky,7.9803,49.8164,Amiin Hotel
546,Aquiraz,BR,80.69,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
547,Isabela,PH,75.25,broken clouds,6.7085,121.9711,Isawad Resort
549,Nicoya,CR,82.87,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
553,Dakar,SN,76.08,clear sky,14.6937,-17.4441,Novotel Dakar
560,Buraydah,SA,75.65,clear sky,26.326,43.975,Mövenpick Qassim
565,Puerto Leguizamo,CO,73.56,broken clouds,-0.1934,-74.7819,la casona de juancho
576,Nikki,BJ,78.01,overcast clouds,9.9401,3.2108,Monnon
577,Madras,IN,83.97,mist,13.0878,80.2785,"Taj Connemara, Chennai"
578,Kismayo,SO,78.62,moderate rain,-0.3582,42.5454,Agan-Hotel
585,Boundiali,CI,84.15,broken clouds,9.5217,-6.4869,Hotel Paysan Boundiali
586,Cape Coast,GH,76.95,overcast clouds,5.1053,-1.2466,Samrit Hotel
590,Pachmarhi,IN,76.39,scattered clouds,22.4667,78.4333,TBT Budget Stays
596,Sabana De Torres,CO,79.41,overcast clouds,7.3915,-73.4957,Hotel el Milagro
598,Odweyne,SO,79.29,overcast clouds,9.4092,45.064,Eng Hiirey House
605,Proddatur,IN,89.17,overcast clouds,14.7333,78.55,Sri Swasthik Residency
609,Saurimo,AO,71.31,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
610,Mahibadhoo,MV,84.18,scattered clouds,3.7833,72.9667,Omadhoo Inn
614,Kohat,PK,75.27,clear sky,33.582,71.4493,Millennium Guest House & Restaurant
618,Tabuk,PH,77.5,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
619,Vilhena,BR,79.02,clear sky,-12.7406,-60.1458,Hotel Mirage
621,Praia,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
625,Caraballeda,VE,82.36,drizzle,10.6112,-66.8522,Hotel 15 Letras
630,Chabahar,IR,79.12,clear sky,25.2919,60.643,هتل گدروشیا
632,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
633,Axim,GH,76.26,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
636,Kongolo,CD,70.48,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
638,Parrita,CR,80.46,broken clouds,9.5201,-84.3225,Beso del Viento
647,Narasimharajapura,IN,72.57,overcast clouds,13.6167,75.5167,Sri Lakshmikanth Hotel and Lodging
649,Awbari,LY,76.69,overcast clouds,26.5921,12.7805,فندق أوباري
654,Ambilobe,MG,70.92,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
655,Cabedelo,BR,79.47,heavy intensity rain,-6.9811,-34.8339,Hotel Pigalle
657,Nohar,IN,84.24,clear sky,29.1833,74.7667,Hotel Eva Inn
659,Soure,BR,78.76,heavy intensity rain,-0.7167,-48.5233,Casarão da Amazônia
660,Saint Simons,US,84.24,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
661,Virginia Beach,US,71.02,thunderstorm,36.8529,-75.978,Hilton Virginia Beach Oceanfront
665,Diebougou,BF,89.83,overcast clouds,10.9667,-3.25,Hotel Le Consulat
667,Corn Island,NI,81.45,broken clouds,12.1694,-83.0418,Big Fish Guest House
678,Xuddur,SO,74.77,scattered clouds,4.1213,43.8894,Banjanay Hotel
684,Muli,MV,83.7,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
685,San Miguel,SV,81.73,overcast clouds,13.4833,-88.1833,Excalibur
687,Monte Carmelo,BR,70.21,clear sky,-18.7247,-47.4986,Park hotel
688,Havelock,US,80.56,scattered clouds,34.8791,-76.9013,Sherwood Motel
694,Manaure,CO,80.94,overcast clouds,11.7751,-72.4445,Hotel Palaaima
696,Muisne,EC,78.57,scattered clouds,0.6,-80.0333,Quinta Samay
701,Trincomalee,LK,80.55,overcast clouds,8.5711,81.2335,Welcombe Hotel
702,Bocas Del Toro,PA,81.41,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
