City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Miandrivazo,MG,-19.5167,45.4667,77.25,69,99,2.21,overcast clouds
216,Ostrovnoy,RU,68.0531,39.5131,36.57,88,100,18.81,overcast clouds
217,Arak,IR,34.0917,49.6892,55.22,34,1,3.2,clear sky
218,Moram,IN,17.8,76.4667,88.74,24,92,11.1,overcast clouds
219,Doge,HU,48.2625,22.0634,57.99,86,81,6.49,broken clouds
220,Ilulissat,GL,69.2167,-51.1,17.13,84,9,3.98,clear sky
221,Kapoeta,SS,4.7717,33.5903,81.32,43,70,5.75,broken clouds
222,Agdas,AZ,40.65,47.4761,57.07,90,100,6.15,overcast clouds
223,Sinjar,IQ,36.3209,41.8754,60.19,54,43,2.33,scattered clouds
224,Huarmey,PE,-10.0681,-78.1522,67.96,81,6,10.07,clear sky
225,Moshenskoye,RU,58.5102,34.5911,41.36,96,58,5.17,broken clouds
226,Les Cayes,HT,18.2,-73.75,79.5,77,1,6.11,clear sky
227,Ustyuzhna,RU,58.8394,36.4321,42.64,90,56,5.48,broken clouds
228,Columbus,US,39.9612,-82.9988,61.7,96,100,11.5,moderate rain
229,Igarka,RU,67.4667,86.5833,18.75,86,100,16.13,overcast clouds
230,Yasenskaya,RU,46.3592,38.269,46.0,60,85,17.16,overcast clouds
231,Maldonado,UY,-34.6667,-54.9167,60.19,87,2,1.03,clear sky
232,Bronnoysund,NO,65.4625,12.1997,44.6,76,100,21.99,overcast clouds
233,Inirida,CO,3.8653,-67.9239,74.12,96,94,3.11,overcast clouds
234,Oktyabrskoye,RU,43.0645,44.7417,41.14,100,100,6.71,light rain
235,Sokolskoye,RU,57.1412,43.1589,41.81,78,30,10.63,scattered clouds
236,Inhambane,MZ,-23.865,35.3833,69.67,86,0,3.04,clear sky
237,Rosetta,EG,31.4044,30.4164,62.51,65,2,11.72,clear sky
238,Bengkulu,ID,-3.8004,102.2655,76.03,89,100,6.22,overcast clouds
239,Saint Anthony,US,45.0205,-93.218,71.96,23,0,10.36,clear sky
240,Zheleznodorozhnyy,RU,55.7503,38.0042,52.21,64,90,7.65,overcast clouds
241,Antalaha,MG,-14.9003,50.2788,73.51,87,5,5.3,light rain
242,Maamba,ZM,-17.3667,27.15,70.45,54,95,2.01,overcast clouds
243,Macenta,GN,8.5435,-9.471,70.48,97,79,2.44,broken clouds
244,Puri,IN,19.8,85.85,80.51,90,4,7.76,clear sky
245,Belyy Yar,RU,53.6039,91.3903,48.09,43,0,4.47,clear sky
246,Ajdabiya,LY,30.7554,20.2263,77.22,22,73,22.06,broken clouds
247,Palasa,IN,18.7667,84.4167,79.74,86,34,4.05,scattered clouds
248,Puerto Asis,CO,0.5133,-76.5007,74.71,86,41,0.51,scattered clouds
249,Arsk,RU,56.0915,49.8778,37.38,77,76,7.36,broken clouds
250,Rio Grande,BR,-32.035,-52.0986,57.31,74,15,4.74,few clouds
251,Salisbury,GB,51.0693,-1.7957,57.43,81,75,5.75,broken clouds
252,Mumford,GH,5.2618,-0.759,75.83,86,100,4.05,overcast clouds
253,Mabaruma,GY,8.2,-59.7833,74.61,96,98,3.15,overcast clouds
254,Dwarka,IN,22.2394,68.9678,81.86,75,0,15.7,clear sky
255,Raudeberg,NO,61.9875,5.1352,43.47,91,75,15.01,broken clouds
256,Porbandar,IN,21.6422,69.6093,81.48,74,0,13.2,clear sky
257,Trabzon,TR,40.9167,39.8333,48.29,100,75,3.44,broken clouds
258,Sumbe,AO,-11.2061,13.8437,77.25,83,76,5.77,broken clouds
259,Anina,RO,45.0794,21.8569,56.35,68,100,9.66,light rain
260,Itacare,BR,-14.2775,-38.9967,76.53,74,37,7.85,scattered clouds
261,Narsaq,GL,60.9167,-46.05,37.62,99,100,1.77,overcast clouds
262,Hvolsvollur,IS,63.7533,-20.2243,39.13,71,93,8.84,overcast clouds
263,Aripuana,BR,-9.1667,-60.6333,78.31,79,80,1.7,broken clouds
264,Senneterre,CA,48.3835,-77.2328,47.98,33,0,7.9,clear sky
265,Cockburn Town,TC,21.4612,-71.1419,80.56,69,40,12.66,scattered clouds
266,Labe,GN,11.3182,-12.2833,76.69,34,52,4.25,broken clouds
